Nome,Alcance,Amplificação Mágica Extra,Atributo Afetado,Ação Secundária Extra,Bônus,Categoria,Classes,Crítico,Custo,Dano,Defesa,Defesa Extra,Durabilidade,Efeito,Escala com,Escalonamento,Limite de uso,Observações,Penalidade,Peso,Raridade,Reação Extra,Requisitos,Subtipo,Valor do Modificador
Kit Ósseo de Campo,,,,,Ajuda a conter Fraturado e Mutilado,Ferramenta,"Mago (Criar%20Personagem/Classes/Mago%20f761bd678e484cd0993fda875188004f.html), Ki (Criar%20Personagem/Classes/Ki%20ec27f579c6cb4ff8b30faa1a340adab0.html), Híbrido (Criar%20Personagem/Classes/H%C3%ADbrido%20cd1a673735eb4b42b02898eb22d01d5f.html), Restrição Celestial (Criar%20Personagem/Classes/Restri%C3%A7%C3%A3o%20Celestial%20280949ab67c74aceba16774b4427722d.html)",,Ação principal,,,,,"Talas, pinos e selantes reduzem penalidades físicas até tratamento completo.",,,3 usos,Suprimento tático para grupos sem curandeiro pleno.,,,Incomum,,Conhecimento de Cura ou uso guiado,Medicina,
Chicote de Ferro,4 m,,,,,Arma,,,,1d6 + Mod. de Destreza,,,,Pode desarmar inimigos; teste de Força para resistir.,,,,,,2,Comum,,,Chicote,
Chicote Espinhoso,4 m,,,,,Arma,,,,1d6 + Mod. de Destreza,,,,Aplica Sangramento (1d4 por 2 turnos).,,,,,,2,Incomum,,,Chicote,
Chicote Tempestuoso,4 m,,,,,Arma,,,,1d6 + Mod. de Destreza + 1d6 elétrico,,,,Dano elétrico; pequena chance de paralisia por 1 turno.,,,,,,2,Raro,,,Chicote,
Chicote do Carrasco,4 m,,,,,Arma,,,,1d8 + Mod. de Força,,,,Crítico causa Atordoado por 1 turno.,,,,,,3,Raro,,,Chicote,
Chicote Dimensional,4 m,,,,,Arma,,,,1d8 + Mod. de Destreza,,,,Ignora obstáculos e cobertura simples; atravessa terreno leve.,,,,,,2,Épico,,,Chicote,
Kusarigama Comum,Corpo a corpo / 4 m,,,,,Arma,,,,1d8 + Mod. de Destreza,,,,Foice + corrente; permite puxar e alcance estendido.,,,,,,3,Comum,,,Kusarigama,
Kusarigama Fantasma,Corpo a corpo / 4 m,,,,,Arma,,,,1d8 + Mod. de Destreza,,,,Corrente atravessa escudos; penalidade contra armaduras éticas reduzida.,,,,,,2,Raro,,,Kusarigama,
Kusarigama Abissal,Corpo a corpo / 4 m,,,,,Arma,,,,1d8 + Mod. de Destreza,,,,Roubo de Vida: cura metade do dano causado em acertos fortes.,,,,,,3,Épico,,,Kusarigama,
Kusarigama Temporal,Corpo a corpo / 4 m,,,,,Arma,,,,1d8 + Mod. de Destreza,,,,Ao acertar reduz deslocamento do alvo 2 m por 2 turnos.,,,,,,2,Raro,,,Kusarigama,
Manopla de Ferro,Corpo a corpo,,,,,Arma,,,,1d6 + Mod. de Força,,,,Manopla simples de metal; confiável em combate corpo a corpo.,,,,,,3,Comum,,,Manopla,
Manopla Cravejada,Corpo a corpo,,,,,Arma,,,,1d6 + Mod. de Força,,,,Cravejada aumenta chance crítica e perfuração.,,,,,,3,Incomum,,,Manopla,
Manopla de Impacto,Corpo a corpo,,,,,Arma,,,,1d8 + Mod. de Força,,,,Impacto pesado; acertos fortes podem atordoar o alvo.,,,,,,4,Raro,,,Manopla,
Manopla Vulcânica,Corpo a corpo,,,,,Arma,,,,1d6 + Mod. de Força + 1d6 fogo,,,,Aplica queimadura leve (1d4 por 2 turnos).,,,,,,3,Raro,,,Manopla,
Manopla Glacial,Corpo a corpo,,,,,Arma,,,,1d6 + Mod. de Força + 1d6 frio,,,,Aplica 1d6 frio e reduz deslocamento do alvo 1 m.,,,,,,3,Raro,,,Manopla,
Manopla do Titã,Corpo a corpo,,,,,Arma,,,,1d10 + Mod. de Força,,,,Aumenta o dano contra armaduras pesadas e aplica a condição Guarda Quebrada.,,,,,,6,Épico,,,Manopla,
Manopla Antimágica,Corpo a corpo,,,,,Arma,,,,1d8 + Mod. de Força,,,,Suprime pequenas magias ao acertar; reduz amplificação mágica do alvo 1 turno.,,,,,,5,Épico,,,Manopla,
Garras de Aço,Corpo a corpo,,,,,Arma,,,,1d8 + Mod. de Destreza,,,,Garras de aço; bom contra armaduras leves.,,,,,,2,Comum,,,Garras,
Garras Retráteis,Corpo a corpo,,,,,Arma,,,,1d6 + Mod. de Destreza,,,,Retráteis; podem ocultar-se e surpreender alvos.,,,,,,1,Incomum,,,Garras,
Garras Venenosas,Corpo a corpo,,,,,Arma,,,,1d6 + Mod. de Destreza,,,,Aplica veneno (1d4 por turno) com falha de resistência.,,,,,,1,Raro,,,Garras,
Garras de Cristal,Corpo a corpo,,,,,Arma,,,,1d8 + Mod. de Destreza,,,,Cristal cortante; críticos têm dano aumentado.,,,,,,2,Raro,,,Garras,
Garras do Predador,Corpo a corpo,,,,,Arma,,,,1d8 + Mod. de Destreza,,,,Bônus em ataque inicial e ao atacar alvos imobilizados.,,,,,,2,Raro,,,Garras,
Garras da Quimera,Corpo a corpo,,,,,Arma,,,,1d10 + Mod. de Destreza,,,,Multielemento; aplica elemento secundário alternado a cada ataque.,,,,,,3,Épico,,,Garras,
Escudo Torre Imperial,—,,,,,Armadura,,,,,,,,Defesa massiva; protege linha e aliados próximos.,,,,,,12,Épico,,,Escudo,
Escudo de Espinhos,—,,,,,Armadura,,,,,,,,Reflete parte do dano recebido aos atacantes.,,,,,,6,Raro,,,Escudo,
Escudo Magnético,—,,,,,Armadura,,,,,,,,Atrai e desvia projéteis; reduz dano de projéteis.,,,,,,5,Épico,,,Escudo,
Escudo Prismático,—,,,,,Armadura,,,,,,,,Barreira prismática que aumenta resistência mágica.,,,,,,4,Épico,,,Escudo,
Escudo Temporal,—,,,,,Armadura,,,,,,,,Chance de negar um ataque por breve lapso temporal; 2 ativações por combate.,,,,,,5,Épico,,,Escudo,
Escudo Espelhado,—,,,,,Armadura,,,,,,,,Reflete magias fracas de volta ao lançador; 2 reflexões/combate.,,,,,,4,Épico,,,Escudo,
Escudo de Energia,—,,,,,Armadura,,,,,,,,Barreira regenerativa que regenera 1 ponto de defesa por turno.,,,,,,6,Épico,,,Escudo,
Besta Repetidora,30 m,,,,,Arma,,,,1d10 + Mod. de Destreza,,,,Dispara até 3 tiros rápidos com recarga curta.,,,,,,6,Raro,,,Besta,
Besta Automática,30 m,,,,,Arma,,,,1d8 + Mod. de Destreza,,,,Tiros automáticos; dispara 2 ataques a -2 de precisão por turno.,,,,,,8,Épico,,,Besta,
Besta de Assédio,24 m,,,,,Arma,,,,1d8 + Mod. de Destreza,,,,Tiro de supressão; reduz deslocamento inimigo por 1 turno.,,,,,,5,Raro,,,Besta,
Besta de Assassino,36 m,,,,,Arma,,,,1d12 + Mod. de Destreza,,,,Alta chance de crítico e dano concentrado.,,,,,,6,Raro,,,Besta,
Besta de Arpão,18 m,,,,,Arma,,,,1d10 + Mod. de Força,,,,Projétil prende e puxa o alvo 2 m em falha de resistência.,,,,,,7,Incomum,,,Besta,
Besta Dracônica,30 m,,,,,Arma,,,,1d12 + Mod. de Força + 1d6 fogo,,,,Projéteis com fogo elemental; chance de queimadura.,,,,,,8,Épico,,,Besta,
Besta de Plasma,28 m,,,,,Arma,,,,1d12 + Mod. de Inteligência,,,,Projétil de plasma que ignora parte da armadura física.,,,,,,9,Épico,,,Besta,
Pistola de Pederneira,12 m,,,,,Arma,,,,1d8 + Mod. de Destreza,,,,Arma de fogo básica; recarrega em 1 turno; requer munição.,,,,,,1,Comum,,,Arma de Fogo,
Mosquete,24 m,,,,,Arma,,,,1d10 + Mod. de Destreza,,,,Maior alcance e penetração; recarga lenta.,,,,,,4,Incomum,,,Arma de Fogo,
Bacamarte,6 m,,,,,Arma,,,,2d6 + Mod. de Destreza (cone curto),,,,Dano em cone curto; devastador a curta distância.,,,,,,5,Incomum,,,Arma de Fogo,
Revólver Arcano,18 m,,,,,Arma,,,,1d8 + Mod. de Destreza + 1d4 arcano,,,,Dispara projétil arcano; usa 1 Mana por tiro.,,,,,,3,Raro,,,Arma de Fogo,
Rifle de Precisão,48 m,,,,,Arma,,,,1d12 + Mod. de Destreza,,,,Alta precisão e dano crítico; ótimo para distância.,,,,,,6,Raro,,,Arma de Fogo,
Canhão de Mão,8 m,,,,,Arma,,,,1d20 + Mod. de Destreza,,,,Disparo pesado com recuo; área 3 m de explosão curta.,,,,,,15,Épico,,,Arma de Fogo,
Espingarda Rúnica,12 m,,,,,Arma,,,,2d8 + Mod. de Destreza (cone),,,,Tiro rúnico em cone; aplica efeito rúnico extra em acerto forte.,,,,,,7,Épico,,,Arma de Fogo,
Bolas,6 m,,,,,Arma,,,,1d4 + Mod. de Força,,,,Arremesso que derruba inimigos em falha de resistência.,,,,,,1,Comum,,,Arremesso,
Rede de Caça,4 m,,,,,Arma,,,,,,,,Imobiliza alvo em falha de resistência; ideal para capturas.,,,,,,3,Comum,,,Arremesso,
Rede Elétrica,4 m,,,,,Arma,,,,1d4 elétrico por turno,,,,Imobiliza e aplica eletricidade em alvo imobilizado.,,,,,,3,Raro,,,Arremesso,
Dardo Explosivo,12 m,,,,,Consumível,,,,1d6 + 1d6 explosão,,,,Consumível: causa explosão pequena em área.,,,,,,1,Raro,,,Arremesso,
Dardo Congelante,12 m,,,,,Consumível,,,,1d6 + 1d6 frio,,,,Aplica lentidão leve e dano por frio.,,,,,,1,Raro,,,Arremesso,
Javelin Imperial,18 m,,,,,Arma,,,,1d10 + Mod. de Força,,,,Lança de arremesso pesada; boa penetração.,,,,,,6,Incomum,,,Arremesso,
Chakram Energizado,12 m,,,,,Arma,,,,1d8 + Mod. de Destreza + 1d4 elétrico,,,,Retorna ao usuário se treinado; atinge inimigos em linha.,,,,,,2,Raro,,,Arremesso,
Bomba de Fragmentação,6 m,,,,,Consumível,,,,2d6 em área,,,,Detona em fragmentos; área curta.,,,,,,2,Raro,,,Arremesso,
Bomba de Luz,4 m,,,,,Consumível,,,,,,,,Cega alvos por 1 turno em área pequena.,,,,,,1,Incomum,,,Arremesso,
Granada de Fumaça,4 m,,,,,Consumível,,,,,,,,Cria cobertura de fumaça por 2 turnos em área.,,,,,,1,Comum,,,Arremesso,
Bardiche,Corpo a corpo,,,,,Arma,,,,1d12 + Mod. de Força,,,,Alcance longo de haste; ajuda a aplicar a condição Guarda Quebrada.,,,,,,7,Incomum,,,Haste,
Lucerne Hammer,Corpo a corpo,,,,,Arma,,,,1d12 + Mod. de Força,,,,Martelo de haste com perfuração; bom contra armaduras.,,,,,,8,Raro,,,Haste,
Bec de Corbin,Corpo a corpo,,,,,Arma,,,,1d10 + Mod. de Força,,,,Ponta perfurante para romper armaduras e escudos.,,,,,,6,Incomum,,,Haste,
Ranseur,Corpo a corpo,,,,,Arma,,,,1d10 + Mod. de Força,,,,Lança com gancho para desarmar e controlar distância.,,,,,,5,Incomum,,,Haste,
Corseca,Corpo a corpo,,,,,Arma,,,,1d12 + Mod. de Força,,,,Haste de impacto com lâmina curva; bom para varreduras.,,,,,,9,Raro,,,Haste,
Foice-Alabarda,Corpo a corpo,,,,,Arma,,,,1d12 + Mod. de Força,,,,Combina corte e perfuração em alcance estendido.,,,,,,8,Raro,,,Haste,
Tridente de Guerra,Corpo a corpo,,,,,Arma,,,,1d10 + Mod. de Força,,,,Perfeito contra criaturas aquáticas e para prender alvos.,,,,,,6,Incomum,,,Haste,
Pique Gigante,Corpo a corpo,,,,,Arma,,,,2d10 + Mod. de Força,,,,Lança colossal usada contra montarias e criaturas grandes.,,,,,,15,Épico,,,Haste,
Ultra Greatsword,Corpo a corpo,,,,,Arma,,,,2d12 + Mod. de Força,,,,Espada colossal de derrubar muralhas; enorme impacto.,,,,,,18,Épico,,,Colossal,
Quebra-Muralhas,Corpo a corpo,,,,,Arma,,,,2d12 + Mod. de Força,,,,Projeta choque em área ao impactar estruturas e armaduras.,,,,,,20,Épico,,,Colossal,
Machado do Gigante,Corpo a corpo,,,,,Arma,,,,2d10 + Mod. de Força,,,,Machado com lâmina enorme; aplica a condição Guarda Quebrada.,,,,,,16,Épico,,,Colossal,
Martelo Colossal,Corpo a corpo,,,,,Arma,,,,2d12 + Mod. de Força,,,,Martelo de impacto extremo; derruba e estonteia alvos.,,,,,,20,Épico,,,Colossal,
Foice Titânica,Corpo a corpo,,,,,Arma,,,,2d10 + Mod. de Força,,,,Foice que varre múltiplos alvos próximos.,,,,,,18,Épico,,,Colossal,
Espada da Fortaleza,Corpo a corpo,,,,,Arma,,,,2d10 + Mod. de Força,,,,Foco em ruptura de defesa e sustento de linha.,,,,,,17,Épico,,,Colossal,
Âncora de Guerra,Corpo a corpo,,,,,Arma,,,,2d12 + Mod. de Força,,,,Uso naval e cerco; aplicada em combate terrestre por força bruta.,,,,,,22,Épico,,,Colossal,
Espadas Gêmeas,Corpo a corpo,,,,,Arma,,,,1d8 + Mod. de Destreza,,,,Permite ataque adicional com penalidade reduzida se dual-wield.,,,,,,3,Comum,,,Duas Mãos,
Machado Duplo Balanceado,Corpo a corpo,,,,,Arma,,,,1d10 + Mod. de Força,,,,Projetado para ataques alternados sem grande penalidade.,,,,,,8,Incomum,,,DUPLA,
Adagas Gêmeas,Corpo a corpo,,,,,Arma,,,,1d6 + Mod. de Destreza,,,,Ataques rápidos e furtivos; sinergia com críticos.,,,,,,1,Comum,,,DUPLA,
Sabres Duplos,Corpo a corpo,,,,,Arma,,,,1d8 + Mod. de Destreza,,,,Cortes rápidos; boa mobilidade lateral.,,,,,,4,Incomum,,,DUPLA,
Foices Gêmeas,Corpo a corpo,,,,,Arma,,,,1d10 + Mod. de Força,,,,Varredura sincronizada; causa dano em área pequena.,,,,,,6,Raro,,,DUPLA,
Lâminas de Punho,Corpo a corpo,,,,,Arma,,,,1d6 + Mod. de Força ou Destreza,,,,Extremamente ágeis; ótima defesa e ofensiva combinadas.,,,,,,2,Comum,,,DUPLA,
Yo-Yo de Combate,Corpo a corpo / 12 m,,,,,Arma,,,,1d6 + Mod. de Destreza,,,,Ataques à distância e controle; retorna ao usuário.,,,,,,1,Raro,,,Exótica,
Tonfa,Corpo a corpo,,,,,Arma,,,,1d6 + Mod. de Força,,,,Arma de impacto com bloqueio integrado.,,,,,,2,Comum,,,Exótica,
Sai,Corpo a corpo,,,,,Arma,,,,1d6 + Mod. de Força,,,,Eficaz para prender lâminas e desarmar.,,,,,,1,Incomum,,,Exótica,
Bastão Triplo,Corpo a corpo,,,,,Arma,,,,1d8 + Mod. de Destreza,,,,Alta versatilidade; ataques e defesa em cadeia.,,,,,,3,Raro,,,Exótica,
Nunchaku,Corpo a corpo,,,,,Arma,,,,1d6 + Mod. de Destreza,,,,Rápido e flutuante; melhora ataques consecutivos.,,,,,,1,Incomum,,,Exótica,
Tessen,Corpo a corpo,,,,,Arma,,,,1d6 + Mod. de Destreza,,,,Leque de guerra; pode bloquear projéteis leves.,,,,,,1,Raro,,,Exótica,
Chakram Duplo,12 m,,,,,Arma,,,,1d8 + Mod. de Destreza,,,,Dois discos que podem ser arremessados sequencialmente.,,,,,,2,Raro,,,Exótica,
Corrente de Meteoros,6 m,,,,,Arma,,,,1d10 + Mod. de Força,,,,Corrente pesada que atinge múltiplos alvos em giro.,,,,,,7,Épico,,,Exótica,
Lâmina Flexível,Corpo a corpo,,,,,Arma,,,,1d8 + Mod. de Destreza,,,,Lâmina que se curva; atinge através de guarda.,,,,,,2,Raro,,,Exótica,
Bastão Retrátil,Corpo a corpo,,,,,Arma,,,,1d8 + Mod. de Força,,,,Retrai para ocultação; bom para disfarces e vigilância.,,,,,,2,Incomum,,,Exótica,
Botas do Salto Longo,—,,,,,Acessório,,,,,,,,Aumenta salto em distância e reduz dano de queda.,,,,,,1,Incomum,,,Movimento,
Botas de Escalada,—,,,,,Acessório,,,,,,,,Melhora testes de escalada e aderência.,,,,,,1,Comum,,,Movimento,
Cinto de Gancho,—,,,,,Acessório,,,,,,,,Permite lançar gancho e deslizar; facilita travessia vertical.,,,,,,1,Comum,,,Movimento,
Capa Planadora,—,,,,,Acessório,,,,,,,,Permite planar por curta distância e reduzir dano de queda.,,,,,,3,Incomum,,,Movimento,
Botas Antigravidade,—,,,,,Acessório,,,,,,,,Reduz peso e permite saltos prolongados; consome carga.,,,,,,4,Épico,,,Movimento,
Patins Rúnicos,—,,,,,Acessório,,,,,,,,Aumenta deslocamento e diminui som ao mover-se.,,,,,,2,Raro,,,Movimento,
Manto de Corrida,—,,,,,Acessório,,,,,,,,Aumenta velocidade e reduz penalidades de carga.,,,,,,2,Incomum,,,Movimento,
Armadura de Ossos,—,,,,,Armadura,,,,,,,,Leve armadura feita de ossos endurecidos; resistência a perfuração.,,,,,,6,Incomum,,,Armadura Leve,
Armadura Quitinosa,—,,,,,Armadura,,,,,,,,Blindagem de quitina; boa resistência a cortes.,,,,,,8,Raro,,,Armadura Média,
Armadura de Escamas de Dragão,—,,,,,Armadura,,,,,,,,Extremamente resistente a elemento específico; requer caça de dragão.,,,,,,12,Épico,,,Armadura Pesada,
Armadura de Runas,—,,,,,Armadura,,,,,,,,Imbuída com runas que concedem resistência mágica.,,,,,,10,Épico,,,Armadura Média,
Armadura de Mercúrio,—,,,,,Armadura,,,,,,,,Superfície fluida que altera forma e dispersa dano físico.,,,,,,9,Épico,,,Armadura Média,
Armadura Antimágica,—,,,,,Armadura,,,,,,,,Reduz efeitos mágicos recebidos e bloqueia canalizações.,,,,,,11,Épico,,,Armadura Pesada,
Armadura de Tecelão Arcano,—,,,,,Armadura,,,,,,,,Tecida com fios místicos que reforçam e se adaptam ao usuário.,,,,,,10,Lendário,,,Armadura Média,
Armadura Adaptativa,—,,,,,Armadura,,,,,,,,Altera propriedades para balancear defesa e mobilidade automaticamente.,,,,,,12,Lendário,,,Armadura Média,
Armadura de Guerra Temporal,—,,,,,Armadura,,,,,,,,Concede pequenas manipulações temporais na defesa; reduz dano crítico.,,,,,,14,Lendário,,,Armadura Pesada,
Armadura Bioorgânica,—,,,,,Armadura,,,,,,,,Mistura de carne e armadura que regenera dano ao longo do tempo.,,,,,,13,Épico,,,Armadura Média,
Grimório Vivo,—,,,,,Catalisador,,,,,,,,Livro que se alimenta de energia e cresce com uso; melhora magias vivas.,,,,,,3,Épico,,,Catalisador,
Tomo do Abismo,—,,,,,Catalisador,,,,,,,,Amplia feitiços sombrios e aumenta chance de efeitos corruptos.,,,,,,4,Épico,,,Catalisador,
Esfera Arcana,—,,,,,Catalisador,,,,,,,,Esfera que focaliza e intensifica magias de área.,,,,,,2,Raro,,,Catalisador,
Cetro Imperial,—,,,,,Catalisador,,,,,,,,Cetro que concede autoridade mágica e melhora controle de elites.,,,,,,5,Épico,,,Catalisador,
Cajado de Ossos,—,,,,,Catalisador,,,,,,,,Canaliza magias necromânticas e aumenta durabilidade de invocações.,,,,,,6,Épico,,,Catalisador,
Relicário Temporal,—,,,,,Catalisador,,,,,,,,Permite pequenas manipulações de recarga e tempo em habilidades; 1 uso por cena.,,,,,,4,Lendário,,,Catalisador,
Máscara Ritualística,—,,,,,Catalisador,,,,,,,,Usada em rituais; aumenta eficiência e resiliência ao custo de sanidade.,,,,,,2,Épico,,,Catalisador,
Livro das Mil Almas,—,,,,,Catalisador,,,,,,,,Armazenamento de espíritos e conjurações; pode libertar entidades.,,,,,,5,Lendário,,,Catalisador,
Anel da Segunda Chance,—,,,,,Acessório,,,,,,,,Permite sobreviver a um golpe fatal com 1 HP uma vez por combate.,,,,,,1,Lendário,,,Acessório,
Pingente da Fênix,—,,,,,Acessório,,,,,,,,Ao cair a 0 HP cura parcialmente e ressurge após breve intervalo.,,,,,,2,Épico,,,Acessório,
Bracelete de Gravidade,—,,,,,Acessório,,,,,,,,Controle de peso; reduz penalidades de carga.,,,,,,1,Incomum,,,Acessório,
Olho Artificial Arcano,—,,,,,Acessório,,,,,,,,Concede visão mágica e detecção de ilusões.,,,,,,1,Raro,,,Acessório,
Dente de Dragão,—,,,,,Acessório,,,,,,,,Concede resistência elemental e bônus contra dracônicos.,,,,,,1,Épico,,,Acessório,
Medalhão do Conquistador,—,,,,,Acessório,,,,,,,,Buff contra chefes; aumenta dano contra elites.,,,,,,2,Épico,,,Acessório,
Coração Artificial,—,,,,,Acessório,,,,,,,,Concede resistência a sangramento e estabilidade vital.,,,,,,3,Raro,,,Acessório,
Coroa da Loucura,—,,,,,Acessório,,,,,,,,"Aumenta poder, reduz sanidade; efeitos imprevisíveis.",,,,,,1,Lendário,,,Acessório,
